user_id,spotify_name,artist_name
465914,radiant baby,radiant baby
387109,deep shoq,deep shoq
22441,weekend affair,weekend affair
24561,hyst,hyst
215919,d'sound,d'sound
299061,leo motta,leo motta
13014,primo,primo
22237,dax,dax
387154,elh kmer,elh kmer
12217,smily,smily
146616,pando g,pando g
13748,syrano,syrano
2520,with glee,with glee
15140,notre dame,notre dame
192864,the waxidermist,the waxidermist
30103,projet 1411,projet 1411
313045,origin studio,origin studio
18500,kedam,kedam
10163,michael dunstan,michael dunstan
132861,pastel coast,pastel coast
151272,tonia cestari,tonia cestari
142066,rvby,rvby
9526,blurblur,blurblur
5163,nedelko,nedelko
424202,l'entourloop,l'entourloop
275953,landon elliott,landon elliott
373299,lush one,lush one
202103,tim ayre,tim ayre
16464,le couleur,le couleur
5512,internaleye,internaleye
21775,courrier sud,courrier sud
28924,namaka,namaka
174343,mani deïz,mani deïz
336082,nay elka,nay elka
354760,bellaire,bellaire
6774,palas,palas
29283,diana goldberg,diana goldberg
336068,la cantina,la cantina
16133,life on planets,life on planets
160570,enny,enny
9944,o.z,o.z
248131,glgv,glgv
27070,karma,karma
336133,dani-l,dani-l
5305,hiro,hiro
20359,dobet gnahoré,dobet gnahoré
336064,kulshenka,kulshenka
118977,eric lives here,eric lives here
387173,mikayla,mikayla
6364,makeda rds,makeda rds
238969,bayuk,bayuk
128295,x-man,x-man
275899,philippe cohen solal,philippe cohen solal
23155,the architect,the architect
452052,léa jarry,léa jarry
69821,noir lotus,noir lotus
452012,alberto tarin,alberto tarin
13863,jus d,jus d
20044,vansleep,vansleep
19616,beat awfuls,beat awfuls
28033,joe bel,joe bel
5216,grace joyner,grace joyner
410268,2zer,2zer
225168,baba shrimps,baba shrimps
248183,matveï,matveï
11832,kai engel,kai engel
225193,jinka,jinka
202063,dumama + kechou,dumama + kechou
15057,pull n way,pull n way
174329,the moose,the moose
2530,ykons,ykons
438065,emma peters,emma peters
14100,carla bruni,carla bruni
21346,dj vadim,dj vadim
16093,filest,filest
359319,di-meh,di-meh
9776,caroline savoie,caroline savoie
424206,killertunes,killertunes
11052,arionce,arionce
16372,magic sound,magic sound
3052,valence,valence
155869,kolo,kolo
13531,box,box
13803,triticum,triticum
1822,royal teeth,royal teeth
11190,angel ruediger,angel ruediger
26928,dizaro,dizaro
363991,gang signs,gang signs
5365,ken verheecke,ken verheecke
18882,denuit,denuit
336066,paage,paage
387084,farnell newton,farnell newton
19924,alex de los reyes,alex de los reyes
192860,bimini,bimini
20780,an'om,an'om
192844,holi,holi
215898,tilsen,tilsen
183593,cosmoh sky,cosmoh sky
280516,miro,miro
142054,velvet shakes,velvet shakes
326842,otiuh,otiuh
28713,your.nash,your.nash
336090,tour-maubourg,tour-maubourg
1441,josué,josué
1032,volts,volts
387128,cloz,cloz
317590,bedhead badhead,bedhead badhead
438094,joe kox,joe kox
364044,markus volker,markus volker
22442,joseph cabanilla,joseph cabanilla
2630,pas sages,pas sages
22793,ahmed mouici,ahmed mouici
271266,dj kraz,dj kraz
202057,genial au japon,genial au japon
4236,ozel,ozel
322329,bęãtfóøt,bęãtfóøt
345464,jonathan emile,jonathan emile
285298,clide,clide
137414,leonie pernet,leonie pernet
20203,alex francis,alex francis
336088,julien vertigo,julien vertigo
13761,bronswick,bronswick
119005,alex angelo,alex angelo
248153,the new shining,the new shining
132889,olivia addams,olivia addams
183607,pat lok,pat lok
142046,skye holland,skye holland
8376,camil kanouni,camil kanouni
69913,pollux,pollux
17251,jes,jes
336119,francesca blanchard,francesca blanchard
211305,imbert imbert,imbert imbert
16437,golgoth,golgoth
336115,la yegros,la yegros
26022,groupe rtd,groupe rtd
132894,giuseppe d'amico,giuseppe d'amico
18436,space motion,space motion
359323,dylarama,dylarama
69817,matt dusk,matt dusk
29962,sebb junior,sebb junior
22000,jim,jim
202047,nico kyni,nico kyni
160587,luchetto,luchetto
373234,young spit,young spit
19387,la bronze,la bronze
118981,foam and sand,foam and sand
428814,lampe,lampe
3712,vanarin,vanarin
7060,ren avel,ren avel
142023,vay,vay
428815,novvel,novvel
132886,dope run,dope run
27867,b.b. jacques,b.b. jacques
438123,roberto pedoto,roberto pedoto
438076,italoconnection,italoconnection
396445,shubostar,shubostar
11814,carla,carla
132888,lord,lord
452027,irene,irene
6461,roberta campos,roberta campos
155896,alex mcmahon,alex mcmahon
359327,thomas barrandon,thomas barrandon
21865,lours,lours
484591,mister t.,mister t.
452078,kln 93,kln 93
475215,bost & bim,bost & bim
151288,neimy,neimy
10048,rouquine,rouquine
6481,iova,iova
14351,sons of funk,sons of funk
19462,yum yuck,yum yuck
18576,mattia vlad morleo,mattia vlad morleo
13682,alan shoesmith,alan shoesmith
5564,andrea carri,andrea carri
25044,duca,duca
696,nadjee,nadjee
6119,almeida,almeida
12010,üm,üm
18337,james strange,james strange
308315,angie rose,angie rose
16482,tuomo,tuomo
5619,kingdmusic,kingdmusic
23228,lazyboyloops,lazyboyloops
345414,fratello,fratello
151285,matchy,matchy
22030,fibel,fibel
142067,wesli,wesli
192815,lilu,lilu
15137,engi,engi
12281,entr,entr
202061,the motion epic,the motion epic
4891,busskey,busskey
861,arthus fochi,arthus fochi
12439,eric burgett,eric burgett
275987,sonotws,sonotws
26493,berezy,berezy
21430,léo megga,léo megga
10314,deejay telio,deejay telio
24613,les freres bizzy,les freres bizzy
6545,lissa,lissa
336083,hot left pole,hot left pole
69775,zoo baby,zoo baby
387129,moonshade,moonshade
410294,jullya murvack,jullya murvack
27459,chuck w.,chuck w.
6256,clara x sofia,clara x sofia
7630,salimo,salimo
3711,ole-bjørn talstad,ole-bjørn talstad
155854,vanilla ninja,vanilla ninja
25710,john moods,john moods
475221,taleman,taleman
387103,podge lane,podge lane
18893,southey,southey
368558,decrow,decrow
17657,ralphthekid,ralphthekid
27118,jocenildo sil,jocenildo sil
27725,pedro rhuas,pedro rhuas
345392,big dope p,big dope p
294458,insides,insides
69933,budz,budz
313011,kldd,kldd
3105,arnon,arnon
14960,meskerem mees,meskerem mees
13846,duo franco,duo franco
142022,pink milk,pink milk
11139,wicca surf,wicca surf
6028,overcrest,overcrest
17086,lou-adriane cassidy,lou-adriane cassidy
19019,hermano salvatore,hermano salvatore
5353,x-ice,x-ice
354719,nicola testa,nicola testa
22042,mr. sos,mr. sos
19318,dinis,dinis
428809,praa,praa
1284,potlatch,potlatch
12814,faaxaan,faaxaan
16959,view from the soyuz,view from the soyuz
238971,union city nights,union city nights
188285,the golden dregs,the golden dregs
336174,ornette,ornette
24340,wounded buffalo beats,wounded buffalo beats
22882,dani carmesim,dani carmesim
15139,maty,maty
6015,marco ema,marco ema
183579,josé y el toro,josé y el toro
18339,bob rum,bob rum
13581,loose buttons,loose buttons
452014,vintage violence,vintage violence
313003,baga,baga
299081,jos'art,jos'art
26358,viscardi,viscardi
6621,mått mūn,mått mūn
410329,karen y los remedios,karen y los remedios
285308,huztes,huztes
27076,horisone,horisone
12113,synapson,synapson
18037,faylasuf,faylasuf
229710,tucci,tucci
8750,louise bessette,louise bessette
225164,bmx escape,bmx escape
489134,baja frequencia,baja frequencia
206628,esken,esken
20530,pedro pondé,pedro pondé
10356,osta love,osta love
123598,qqun,qqun
363970,cikey,cikey
2724,nova station,nova station
276006,m le maudit,m le maudit
4135,ノウルシ,ノウルシ
248163,auracane,auracane
20363,songes,songes
401068,angelo scalici,angelo scalici
2529,therapie taxi,therapie taxi
24583,gurriers,gurriers
12618,og cyrus,og cyrus
368556,vile urn,vile urn
452085,red rum club,red rum club
137399,bts,bts
1162,adamo,adamo
211284,mack et ro,mack et ro
3323,laylah arruda,laylah arruda
303774,caught a ghost,caught a ghost
215951,fionn regan,fionn regan
21147,naïssam jalal,naïssam jalal
27418,patrick martin,patrick martin
401025,a transe,a transe
137417,mauricio musa,mauricio musa
179015,lunis,lunis
132852,thaïs,thaïs
18338,erica nockalls,erica nockalls
275896,panther hollow,panther hollow
165134,kenneth ishak,kenneth ishak
428802,fal,fal
10561,sonny flame,sonny flame
225172,jsanz,jsanz
19776,stop the schizo,stop the schizo
192823,mookigang,mookigang
428773,were-vana,were-vana
165184,mosimann,mosimann
160555,rachelle allison,rachelle allison
282,hotel paradisio,hotel paradisio
20307,atim,atim
15972,jok'air,jok'air
21983,colours in the street,colours in the street
202104,banker,banker
363966,le double a,le double a
192839,melan,melan
5137,forsan,forsan
424193,haristone,haristone
16769,gambino,gambino
20795,olakira,olakira
248129,widgunz,widgunz
6702,miya,miya
387172,ayiiti,ayiiti
8721,young tommy,young tommy
438122,ant antic,ant antic
299083,iris lune,iris lune
25598,the brooks,the brooks
5459,jonas.f.k,jonas.f.k
14505,a2h,a2h
257472,russell louder,russell louder
266683,vendou,vendou
21420,ninety's story,ninety's story
25453,marcelo café,marcelo café
25986,superjava,superjava
2413,johnny good,johnny good
317561,angara,angara
465900,fhin,fhin
220514,thierry larose,thierry larose
188243,rebecca & fiona,rebecca & fiona
373230,joanna,joanna
271238,arigato massaï,arigato massaï
9349,de rien,de rien
3432,rino castel,rino castel
206630,j.a.m.,j.a.m.
271209,kimchii,kimchii
16511,genezio,genezio
377821,yuni wa,yuni wa
27858,sol eléctrico,sol eléctrico
28447,maria domark,maria domark
410322,tanaya harper,tanaya harper
377833,zerr,zerr
5132,solar vibes,solar vibes
229776,echoes,echoes
414883,lil nas x,lil nas x
16394,mad rassi,mad rassi
20934,flower child,flower child
30286,banu kanıbelli,banu kanıbelli
3153,mocy,mocy
20631,bacca chew,bacca chew
23664,myer clarity,myer clarity
400967,that's cool,that's cool
3215,blue27,blue27
336043,julia robert,julia robert
26707,don bnnr,don bnnr
16463,vroudenspil,vroudenspil
326874,digighouls,digighouls
475213,jake kaiser,jake kaiser
373226,the bland,the bland
15816,gab paquet,gab paquet
28024,erdem gul,erdem gul
21963,yung lain,yung lain
234325,thierry von der warth,thierry von der warth
24941,tchami,tchami
9796,taylor swift,taylor swift
271244,karmaa,karmaa
15219,namic,namic
977,gökay ekin,gökay ekin
345353,wouter en de draak,wouter en de draak
377844,bruno bo,bruno bo
19596,specy men,specy men
993,the dark atom,the dark atom
15352,ramengvrl,ramengvrl
15608,linh,linh
377806,raton lover,raton lover
28376,maesic,maesic
23653,w o l f c l u b,w o l f c l u b
14362,olympia,olympia
238945,lhiroyd,lhiroyd
19580,oscar welsh,oscar welsh
336129,smiley,smiley
5259,heroe,heroe
151261,robot koch,robot koch
308348,lily grace,lily grace
4310,di panda,di panda
775,thomas geelens,thomas geelens
21080,ariana grande,ariana grande
21329,mai,mai
9354,teenage bed,teenage bed
146624,drey karper,drey karper
276012,balls out,balls out
211272,in the morning lights,in the morning lights
428782,jdl,jdl
20757,osman altun,osman altun
1603,ghostown,ghostown
137420,ykm,ykm
